nom|entrepriseAdaptee|description|url|logo
WAS|False|||
LE POUZIN HANDBALL 07|False|||
ADECCO MEDICAL|False|||
LARCAD|False|||
PRO IMPEC|False|||
CENTRE FORMATION PROFESSIONNELLE|False|||
TECHNOPLI|False|||
BATIR DURABLE|False|||
B9.A|False|||
SIEGE ADMINISTRATIF|False|L'Adapei 07 est une Association (loi 1901) fondée en 1963 à l'initiative de parents soucieux de l'éducation et de l'avenir de leurs enfants souffrant d'un handicap intellectuel, l'association conserve et revendique ce caractère familial. Elle accueille et accompagne tout au long de de la vie, des personnes en situation de handicap, dans ses établissements comme en milieu ordinaire. |https://www.adapei07.fr/|
FCA|False|||
DROME ARDECHE TRADITION|False|||
INTERMARCHE|False|||
ASSOCIATION HOSPITALIERE DE MOZE|False|"Hôpital de Moze - 07 320 SAINT AGREVE - de 105 lits : EHPAD (80 lits), Médecine (8 lits), SSR (17 lits) , Centre Périnatal de Proximité, Consultations spécialisées et Centre de Consultations Non Programmées.

Situé à la limite de l'Ardèche et de la Haute-Loire, à 50 minutes d'Annonay, de Saint-Etienne, du Puy en Velay et de Valence, l'établissement est dans un village d'environ 2800 habitants disposant d'écoles et collèges.

"||
CENTRE SOCIO CULTUREL LE PALABRE|False|||
ACTION|False|||
|False|||
KIABI|False|||
CENTRE HOSPITALIER DE PRIVAS ARDECHE|False|Le Centre Hospitalier de Privas Ardèche dispose de services diversifiés. Il offre un panel d'interventions qui en font un hôpital de proximité à visage humain. Disposant d'un équipement médico-technique performant, le CHVA est en mesure de répondre à un bon nombre d'attentes. ||
CENTRE HOSPITALIER SAINTE MARIE|False|||
BOULANGERIES SOPHIE LEBREUILLY|False|En plein développement, les boulangeries Sophie LEBREUILLY comptent plus de 60 boulangeries. Notre mission est de proposer à nos clients du pain et des gourmandises de qualité, accessibles à tous, pour tous les goûts, toute la journée. Nos boulangeries sont des lieux de convivialité où la gourmandise se partage et rassemble. Au service des familles de gourmands, nous sommes facilement identifiables et accessibles, ouverts toute la semaine, du lundi au dimanche et en continu du matin au soir.||
GSF ORION|False|||
""" SUPER U """|False|||
RAMPA ENTREPRISES|False|||
NESTENN|False|||
PLEIN SUD RESTAURATION|False|"PLEIN  SUD est une entreprise de restauration collective et nous mettons notre savoir faire à votre service.
Localisés principalement dans les départements de la Drôme et de l'Ardèche, nous intervenons auprès des restaurants scolaires et des établissements pour personnes âgées de notre belle région.
Venez découvrir au sein de nos cuisines, une restauration collective pensée et réalisée comme une cuisine traditionnelle, où chaque convive reçoit l'écoute et l'attention particulière qu'il mérite."|http://plein-sud-restauration.com/|
BAYA|False|"BE AS YOU ARE : CABINET DE RECRUTEMENT ENGAGE HUMAN CENTRIC 
Depuis 2021 notre cabinet, issu de l'expertise en Relations Humaines de plus de 20 ans révolutionne le recrutement en plaçant l'humain au cœur de chaque interaction. Chez Be As You Are, l'approche ""Human Centric"" est notre ADN. Ensemble, nous redéfinissons les normes du recrutement, prêts à créer des opportunités durables. Bienvenue chez Be As You Are, où chaque histoire professionnelle est une aventure humaine exceptionnelle. 
"|https://baya-recrutement.fr/|https://api.francetravail.fr/exp-rechercheoffre/v1/logo-entreprise/GdET0U0uJQVcJt7fIapdSKlzCwHYti9R
SYNERGIE|False|||
RANDSTAD|False|Randstad vous ouvre toutes les portes de l'emploi : intérim, CDD, CDI. Chaque année, 330 000 collaborateurs (f/h) travaillent dans nos 60 000 entreprises clientes. Rejoignez-nous !||https://api.francetravail.fr/exp-rechercheoffre/v1/logo-entreprise/GeJS8JfuzUqxG5qnFen1zrrd0Qlqadin
ADECCO FRANCE|False|"Premier réseau d'agences d'emploi en France, Adecco a développé un savoir-faire unique de proximité et met toutes ses compétences à votre service.
Nos équipes sont présentes sur tout le territoire, avec plus de 900 agences. Quel que soit le contrat que vous cherchez : CDI, CDD, Intérim, CDI Intérimaire, CDI Apprenant ou alternance, nos experts travaillent chaque jour, pour vous guider vers ce qui vous correspond. Dès maintenant, devenez acteur de votre vie !

"||https://api.francetravail.fr/exp-rechercheoffre/v1/logo-entreprise/ccCJ1rOjn0xPf3L3vdY3xEZCuIleuXqb
RANDSTAD|False|"Chez Randstad, on ne plaisante pas avec le job parfait. Nous sommes déterminés à vous aider à le trouver.

De plus, notre expertise transversale en recrutement vous permettra de maximiser vos chances de trouver le poste idéal."||https://api.francetravail.fr/exp-rechercheoffre/v1/logo-entreprise/GeJS8JfuzUqxG5qnFen1zrrd0Qlqadin
STAND MUSHU|False|"Retrouver toutes les annonces avec le mot clé ""PlaceVernoux"" sur notre site France Travail"||
INTERSPORT GUILHERAND-GRANGES|False|||
DITEP EOLE|False|"L Association des ITEP de l Ardèche (A.I.A), gère 3 Dispositifs ITEP sur le Département Ardéchois :
- Le DITEP du Home Vivarois situé à Ucel et son antenne située à Aubenas :
- Le DITEP Pont Brillant situé à Saint Marcel d'Ardèche et son antenne située au Teil ;
- Le DITEP Eole situé à Eclassan.

L A.I.A accueille environ 236 jeunes de 6 à 20 ans présentant des troubles psychiques, troubles du comportement et collabore avec environ 130 salariés.
"||
crèche LES PITCHOUNES|False|||
ADECCO FRANCE|False|"Premier réseau d'agences d'emploi en France, Adecco a développé un savoir-faire unique de proximité et met toutes ses compétences à votre service.
Nos équipes sont présentes sur tout le territoire, avec plus de 900 agences. Quel que soit le contrat que vous cherchez : CDI, CDD, Intérim, CDI Intérimaire, CDI Apprenant ou alternance, nos experts travaillent chaque jour, pour vous guider vers ce qui vous correspond. Dès maintenant, devenez acteur de votre vie !
"||https://api.francetravail.fr/exp-rechercheoffre/v1/logo-entreprise/ccCJ1rOjn0xPf3L3vdY3xEZCuIleuXqb
LE CERISIER|False|||
STANDYR|False|||https://api.francetravail.fr/exp-rechercheoffre/v1/logo-entreprise/NO_LOGO
EHPAD LES BAINS|False|||
ELMOUTAWAKKIL|False|||
MYBIOSHOP|False|||
MICRO CRECHE PLOOM|False|||
A.P.S Alpha Protect Sécurité|False|||
DOMAINE JEAN LOUIS CHAVE|False|||
DUPRE VINS D'ARDECHE|False|||
TRIOMPHE SECURITE|False|||
